nom,dernier,variation_jour,type_extreme,niveau_reference,plus_bas_an,plus_haut_an,timestamp
AB SCIENCE,"1,29","-0,46%",PLUS BAS,1.29,"1,29","1,31",2025-08-24 05:30:06
ANTIN INFRASTRUCTURE PARTNERS,"11,72","+6,74%",PLUS HAUT,11.72,"10,96","11,72",2025-08-24 05:30:06
AYVENS,"10,08","+1,82%",PLUS HAUT,10.08,"9,87","10,08",2025-08-24 05:30:06
BUREAU VERITAS,"27,22","+0,74%",PLUS HAUT,27.22,"26,94","27,22",2025-08-24 05:30:08
COFACE,"16,78","-0,42%",PLUS BAS,16.78,"16,78","16,90",2025-08-24 05:30:10
COVIVIO HOTELS,"23,60","0,00%",PLUS HAUT,23.6,"23,50","23,60",2025-08-24 05:30:10
DANONE,"73,24","-0,81%",PLUS BAS,73.24,"73,24","73,96",2025-08-24 05:30:12
DBV TECHNOLOGIES,"1,71","-1,72%",PLUS BAS,1.71,"1,71","1,77",2025-08-24 05:30:12
DERICHEBOURG,"6,23","+1,97%",PLUS HAUT,6.23,"6,07","6,23",2025-08-24 05:30:12
EDENRED,"26,73","+1,95%",PLUS HAUT,26.73,"26,15","26,73",2025-08-24 05:30:14
ENGIE,"18,77","-0,66%",PLUS BAS,18.77,"18,77","18,91",2025-08-24 05:30:14
EUTELSAT,"3,26","+4,83%",PLUS HAUT,3.26,"3,11","3,26",2025-08-24 05:30:14
GENOMIC VISION,"0,00","0,00%",PLUS HAUT,0.0,-,-,2025-08-24 05:30:17
GETLINK,"17,05","-0,18%",PLUS BAS,17.05,"17,05","17,15",2025-08-24 05:30:17
GROUPE ADP,"123,40","+0,73%",PLUS HAUT,123.4,"122,30","123,40",2025-08-24 05:30:17
GROUPE SFPI,"2,39","0,00%",PLUS HAUT,2.39,"2,38","2,39",2025-08-24 05:30:17
GTT,"158,50","-0,88%",PLUS BAS,158.5,"158,50","160,10",2025-08-24 05:30:17
GUERBET,"22,50","+2,04%",PLUS HAUT,22.5,"21,90","22,50",2025-08-24 05:30:17
JACQUET METALS,"20,85","-0,24%",PLUS HAUT,20.85,"20,65","20,85",2025-08-24 05:30:23
KAUFMAN AND BROAD,"31,35","+1,46%",PLUS HAUT,31.35,"30,80","31,35",2025-08-24 05:30:25
LAGARDÈRE,"20,65","+0,73%",PLUS HAUT,20.65,"20,45","20,65",2025-08-24 05:30:27
LDC,"91,90","0,00%",PLUS HAUT,91.9,"91,00","91,90",2025-08-24 05:30:27
LEGRAND,"132,10","+1,11%",PLUS HAUT,132.1,"130,20","132,10",2025-08-24 05:30:27
M6 METROPOLE TELEVISION,"13,50","+1,81%",PLUS HAUT,13.5,"13,24","13,50",2025-08-24 05:30:29
MANITOU,"20,50","+1,49%",PLUS HAUT,20.5,"20,15","20,50",2025-08-24 05:30:29
MEDINCELL,"17,91","-0,56%",PLUS BAS,17.91,"17,91","18,40",2025-08-24 05:30:29
MERSEN,"25,35","+3,05%",PLUS HAUT,25.35,"24,70","25,35",2025-08-24 05:30:29
NEURONES,"42,70","+1,07%",PLUS HAUT,42.7,"42,20","42,70",2025-08-24 05:30:30
NEXANS,"137,00","+1,93%",PLUS HAUT,137.0,"133,50","137,00",2025-08-24 05:30:30
NRJ GROUP,"7,30","+0,83%",PLUS HAUT,7.3,"7,24","7,30",2025-08-24 05:30:30
OSE IMMUNO,"6,32","-0,47%",PLUS BAS,6.32,"6,32","6,50",2025-08-24 05:30:32
PIERRE ET VACANCES CENTER PARCS,"1,69","+1,69%",PLUS HAUT,1.69,"1,66","1,69",2025-08-24 05:30:34
RAMSAY GÉNÉRALE DE SANTÉ,"9,96","0,00%",PLUS HAUT,9.96,"9,96","9,96",2025-08-24 05:30:37
SAFRAN,"290,50","-0,68%",PLUS BAS,290.5,"290,50","293,00",2025-08-24 05:30:39
SMCP,"6,77","+3,20%",PLUS HAUT,6.77,"6,53","6,77",2025-08-24 05:30:39
SOCIÉTÉ FONCIÈRE LYONNAISE,"74,00","0,00%",PLUS HAUT,74.0,"74,00","74,00",2025-08-24 05:30:39
SOPRA STERIA GROUP,"175,00","+1,10%",PLUS HAUT,175.0,"172,50","175,00",2025-08-24 05:30:39
STEF,"140,00","0,00%",PLUS HAUT,140.0,"139,00","140,00",2025-08-24 05:30:39
STMICROELECTRONICS,"23,44","+4,74%",PLUS HAUT,23.44,"22,21","23,44",2025-08-24 05:30:39
TF1,"8,59","+1,66%",PLUS HAUT,8.59,"8,45","8,59",2025-08-24 05:30:41
TONNELLERIE FRANCOIS FRERES,"17,25","+5,83%",PLUS HAUT,17.25,"16,45","17,25",2025-08-24 05:30:41
TOTALENERGIES EP GABON,"184,00","-0,54%",PLUS BAS,184.0,"184,00","186,50",2025-08-24 05:30:41
VALLOUREC,"15,89","+0,86%",PLUS HAUT,15.89,"15,72","15,89",2025-08-24 05:30:46
VIRBAC,"341,00","0,00%",PLUS HAUT,341.0,"338,00","341,00",2025-08-24 05:30:46
WAVESTONE,"54,70","+1,67%",PLUS HAUT,54.7,"53,50","54,70",2025-08-24 05:30:48
X-FAB,"7,30","+2,24%",PLUS HAUT,7.3,"7,14","7,30",2025-08-24 05:30:49
74SOFTWARE,"39,90","+0,76%",PLUS HAUT,39.9,"39,50","39,90",2025-08-24 05:30:54
